title_id,title_name,title_year
tt2951562,Lakhon Mein Ek,(2012– )
tt0241124,Nukkad,(1986– )
tt9110176,Vikram Betaal Ki Rahasya Gatha,(2018– )
tt9025492,Radha Krishn,(2018– )
tt2801992,Ssshhhh... Koi Hai,(2001–2004)
tt5929728,MTV Girls on Top,(2016– )
tt0816382,Hum Paanch,(1995–2006)
tt8728526,Baby Come Naa,(2018– )
tt7651202,"Kya Haal, Mr. Paanchal?",(2017– )
tt2192156,Na Bole Tum Na Maine Kuch Kaha,(2012– )
tt5680224,Pyaar Tune Kya Kia Season7,(2016– )
tt3430928,Do Dil Bandhe Ek Dori Se,(2013– )
tt7045034,Naamkarann,(2016– )
tt2328418,Arjun: Har Yug Mein Aayega Ek,(2012– )
tt9434592,Titu Talks,(2018– )
tt7972292,Santoshi Maa,(2015–2017)
tt7134830,Itna Karo Na Mujhe Pyaar,(2014–2015)
tt8451332,Dance Plus,(2015– )
tt2504274,Jeannie Aur Juju,(2012– )
tt8466842,Chand Chupa Badal Mein,(2010–2011)
tt7763100,Jaana Na Dil Se Door,(2016–2017)
tt7612938,Shaitaan Haveli,(2018– )
tt8292392,Hum: I'm Because of Us,(2018– )
tt1868745,Kumkum - Ek Pyara Bandhan,(2002–2009)
tt1846278,Raja Ki Ayegi Baraat,(2007–2010)
tt7060662,Chandrakanta,(2017– )
tt6850964,Ramayan,(2012–2013)
tt3550682,Amrit Manthan,(2012–2013)
tt1605277,Kis Desh Mein Hai Meraa Dil,(2008–2010)
tt1943898,Adaalat,(2010– )
tt8806456,Aladdin - Naam Toh Suna Hoga,(2018– )
tt8533130,Qayamat Ki Raat,(2018– )
tt8790150,Baahubali: Before the Beginning,(2019– )
tt5872906,NAVYA: Naye Dhadkan Naye Sawaal,(2011–2012)
tt4662064,Baa Bahoo Aur Baby,(2005–2010)
tt7118596,Iss Pyaar Ko Kya Naam Doon 3,(2017– )
tt8816250,What's Your Status,(2018– )
tt3594220,Rang Rasiya,(2013– )
tt3506278,Tumhari Pakhi,(2013– )
tt9544034,The Family Man,(2019– )
tt5632262,Aahat,(1995–2000)
tt4817756,Dosti... Yaariyan... Manmarziyan,(2015– )
tt1921518,Crime Patrol,(2003– )
tt4455902,Jamai Raja,(2014– )
tt4533740,Sajan Ghar Jana Hai,(2009–2010)
tt6352300,Kavach... Kaali Shaktiyon Se,(2016)
tt9877848,Happu Ki Ultan Paltan,(2019– )
tt0390769,Shrimaan Shrimati,(1994– )
tt0398497,Junior-G,(2001– )
tt9168160,Patiala Babes,(2018– )
tt6814630,Uttaran,(2008–2015)
tt7151452,Boygiri,(2017– )
tt5248728,The Great Indian Laughter Challenge,(2005–2009)
tt7731532,Dil Se Dil Tak,(2017– )
tt1876868,Geet,(2010–2011)
tt2366871,Dill Mill Gayye,(2007–2010)
tt5017396,MTV Roadies,(2003– )
tt7905502,Rakt Sambandh,(2010–2011)
tt5680206,Darr Sabko Lagta Hai,(2015– )
tt7437464,Pyaar Ka Bandhan,(2009–2010)
tt4934664,Bandbudh Aur Budbak,(2015– )
tt3811418,Hatim Tai,(1994–1995)
tt0366104,The Sword of Tipu Sultan,(1990– )
tt8991224,The Good Vibes,(2018– )
tt8531380,Silsila Badalte Rishton Ka,(2018– )
tt3639156,Hum Saath Aath Hai,(2001–2003)
tt7880808,Woh Apna Sa,(2017– )
tt1634528,X-Zone,(1998–2002)
tt6793058,Bhaage re mann,(2015–2016)
tt0401949,Jassi Jaissi Koi Nahin,(2003– )
tt1755864,Sa Re Ga Ma Pa,(1995– )
tt5282604,Sumit Sambhal Lega,(2015– )
tt2360717,Satyamev Jayate,(2012– )
tt3554414,Behenein,(2010– )
tt3667404,Swathi Chinukulu,(2013– )
tt8378420,Zero KMS,(2018)
tt8502324,Engineering Girls,(2018– )
tt3892312,Sapna Babul Ka.... Bidaai,(2007–2010)
tt9193600,Verdict,(2019– )
tt1595198,Mahi Way,(2010– )
tt4458082,Bessmertnik,(2015– )
tt4567010,Perman,(1983–1985)
tt8453182,Rising Star,(2017– )
tt7263828,Ek Hasina Thi,(2014)
tt7454372,Sanjivani: A Medical Boon,(2002–2005)
tt3833436,Jai Mata Ki,(1999–2000)
tt7155018,Pehredaar Piya Ki,(2017)
tt9905578,Home Sweet Office,(2019– )
tt2939026,Madhubala - Ek Ishq Ek Junoon,(2012– )
tt2955596,Baba Aiso Varr Dhoondo,(2010–2012)
tt4570986,Chhota Bheem,(2008– )
tt6030168,Maid in India,(2016– )
tt8779792,Meera,(2009–2010)
tt0401953,Kkusum,(2001– )
tt5838218,Chidiya Ghar,(2011– )
tt7865550,"Prithvi Vallabh: Itihaas Bhi, Rahasya Bhi",(2018– )
tt8512990,Agle Janam Mohe Bitiya Hi Kijo,(2009– )
tt9094282,Hostages,(2019– )
tt4928336,Titliyan,(1989–1990)
tt2259464,Fear Files: Darr Ki Sachchi Tasveerein,(2012– )
tt2258886,Roll No. 21,(2010– )
tt5094380,Tujh Sang Preet Lagai Sajna,(2008–2010)
tt0827758,Miilee,(2005– )
tt5076268,Airlines,(2014–2015)
tt2367813,Pyaar Kii Ye Ek Kahaani,(2010–2011)
tt3430920,Ek Mutthi Aasmaan,(2013– )
tt4659926,Gangaa,(2015– )
tt5578960,Mere Apne,(2007–2008)
tt8457744,Sa Re Ga Ma Pa L'il Champs,(2006– )
tt8532412,Damaged,(2018)
tt4631018,Captain Vyom,(1998–1999)
tt2429838,Kya Huaa Tera Vaada,(2012– )
tt7624596,Shagun,(2001–2004)
tt8427132,Jai Ganga Maiya,(1998)
tt9025502,Karn Sangini,(2018– )
tt8569130,Mariam Khan - Reporting Live,(2018– )
tt4299952,Ek Boond Ishq,(2013– )
tt6093500,Dehleez,(2016– )
tt0155424,Bharat Ek Khoj,(1988– )
tt1985299,Bade Achhe Lagte Hain,(2011– )
tt8056962,Gustakh Dil,(2013–2014)
tt8432526,Sajan Re Phir Jhoot Mat Bolo,(2017– )
tt5991000,Shaadi Boys,(2016– )
tt3430936,Doli Armaano Ki,(2013– )
tt3666564,Aur Pyaar Ho Gaya,(2014– )
tt7762656,Tu Sooraj Main Saanjh Piyaji,(2017– )
tt7236124,Rishton ka chakravyuh,(2017–2018)
tt7147670,Kundali Bhagya,(2017– )
tt1638298,Seven,(2010– )
tt4980540,Kalash-Ek Vishwaas,(2015– )
tt0395908,Wagle Ki Duniya,(1988–1990)
tt2232018,Baat Hamari Pakki hai,(2010–2011)
tt7347676,Tashan-e-Ishq,(2015–2016)
tt4910308,Karishma Kaa Karishma,(2003–2004)
tt7937278,Ek Tha Raja Ek Thi Rani,(2015–2017)
tt7717938,Fourplay,(2018– )
tt2367527,Miley Jab Hum Tum,(2008–2010)
tt8714212,Babbar Ka Tabbar,(2018– )
tt3385976,Ek Nanad Ki Khushiyon Ki Chaabi... Meri Bhabhi,(2013– )
tt8785404,Akoori,(2018– )
tt7960974,TSP's Zeroes,(2018– )
tt7947328,Spotlight 2,(2018)
tt9110172,"Mangalam Dangalam - Kabhi Pyaar, Kabhi Vaar",(2018– )
tt7822166,MasterChef India,(2010– )
tt8448644,Dance Deewane,(2018– )
tt0400977,Astitva Ek Prem Kahani,(2002– )
tt6481008,Dil Boley Oberoi,(2017– )
tt5896814,Tanhaiyan,(2017)
tt2529228,Bring on the Night,(2012– )
tt4526110,Yam Hain Hum,(2014– )
tt2062144,Humse Hai Liife,(2011– )
tt8615734,PA-Gals,(2017–2018)
tt6477736,Adhuri Kahaani Hamari,(2015–2016)
tt5466156,Karma,(2004–2005)
tt1905694,Jyoti,(2009–2011)
tt8188922,Jai Jag Janani Maa Durga,(2012–2013)
tt6505716,EK Vivah Aisa Bhi,(2017– )
tt5102182,Kya Dill Mein Hai,(2007–2008)
tt2640252,Parvarrish: Kuchh Khattee Kuchh Meethi,(2011– )
tt7632824,Rishta Likhenge Hum Naya,(2017– )
tt0390678,Aap Ki Adalat,(1992–2017)
tt8386744,Jai Jai Jai Bajrang Bali,(2011–2015)
tt2191327,Sajan Re Jhoot Mat Bolo,(2009–2012)
tt4499570,Pyaar Tune Kya Kiya,(2014– )
tt8011886,Ruk Jana Nahin,(2011–2012)
tt1445563,Saat Phere... Saloni Ka Safar,(2005–2009)
tt5753664,Nisha Aur Uske Cousins,(2014–2015)
tt8389566,Jhalak Dikhhla Jaa,(2006– )
tt7336640,Tik Tak Tail,(2017– )
tt6403094,Dil Hai Hindustani,(2017– )
tt9466632,Cheers - Friends. Reunion. Goa.,(2018– )
tt0461000,Des Main Nikla Hoga Chand,(2001–2005)
tt6907788,Piyaa Albela,(2017– )
tt8137682,Partners,(2017– )
tt8413440,Juzz Baatt,(2018– )
tt5495778,Krishnadasi,(2016– )
tt1868927,Rehna Hai Teri Palkon Ki Chhaon Mein,(2009– )
tt2039092,Rani,(2011– )
tt5961444,Upanishad Ganga,(2012–2013)
tt6742294,Fear Factor: Khatron Ke Khiladi,(2008– )
tt6455918,Girl in the City,(2016– )
tt0245667,Tenali Rama,(1990– )
tt4622278,Swaragini: Jodein Rishton Ke Sur,(2015– )
tt4143774,MTV Fanaah: An Impossible Love Story,(2014– )
tt7905416,Aisi Deewangi Dekhi Nahi Kahi,(2017– )
tt4472754,The Command Force,(2011–2014)
tt1576767,Na Aana Iss Des Laado,(2009– )
tt7328360,Cyber Squad,(2017– )
tt0486068,Indian Idol,(2004– )
tt5638336,Ajnabi,(1994–1996)
tt5941250,I Don't Watch TV,(2016– )
tt9061098,Weekends,(2018– )
tt2621722,F.I.R.,(2006– )
tt3294506,Bairi Piya,(2009–2010)
tt1500475,Woh Rehne Waali Mehlon Ki,(2005– )
tt4536200,Kairi: Rishta Khatta Meetha,(2012– )
tt7425324,Kabhii Sautan Kabhii Sahelii,(2001–2002)
tt8325314,Home,(2018– )
tt9044932,Mere Sai,(2017– )
tt10071522,Sufiyana Pyaar Mera,(2019– )
tt9040936,LOC - Life Out of Control,(2005)
tt6581364,Koi Laut Ke Aaya Hai,(2017)
tt7658612,Naagarjuna: Ek Yoddha,(2016–2017)
tt0389695,Tu Tu Main Main,(2000– )
tt1685078,Ek Veer Stree Ki Kahaani... Jhansi Ki Rani,(2009–2011)
tt2245255,Phir Bhi Na Maane Badtameez Dil,(2015– )
tt0389681,Shanti,(1994– )
tt8983304,Perfect Pati,(2018– )
tt7974040,Kaliren,(2018– )
tt4505268,Chakravartin Ashoka Samrat,(2015– )
tt6856948,Zindagi ki Mehak,(2016– )
tt6422500,Bar Code,(2018– )
tt7915230,Ek Shringaar-Swabhiman,(2016–2017)
tt5296444,Begusarai,(2015– )
tt0283750,The Jungle Book: The Adventures of Mowgli,(1989–1990)
tt5281434,Ma Shakti,(2002–2003)
tt8464686,Hum Ne Li Hai Shapath,(2012–2013)
tt7658572,Jiji Maa,(2017– )
tt7915114,Udaan,(2014– )
tt3900908,Kaisa Yeh Ishq Hai... Ajab Sa Risk Hai,(2013–2014)
tt1719849,Ladies Special,(2009– )
tt4059976,Everest,(2014–2015)
tt0370114,Circus,(1989–1990)
tt3889862,Sasural Genda Phool,(2010–2012)
tt7598116,Ring Wrong Ring,(2010–2011)
tt3246616,Pradhanmantri,(2013– )
tt5201128,Akkad Bakkad Bambey Bo,(2005– )
tt8518062,India's Best Dramebaaz,(2013–2018)
tt0853973,Om Namah Shivay,(1997– )
tt6920070,Parichay: Nayee Zindagi Kay Sapno Ka,(2011–2013)
tt9055052,Breakfast with Champions,(2017– )
tt9710650,Jhansi Ki Rani,(2019– )
tt7446400,Battle of saragarhi,(2017–2018)
tt7654814,Saara Akaash,(2003–2005)
tt4191352,'The Making Of...',(2014– )
tt2764882,Dil Ki Nazar Se Khoobsurat,(2013– )
tt4549714,Bahubali,(2008–2009)
tt1634526,Hip Hip Hurray,(1999–2000)
tt5546964,Arslaan,(2008–2009)
tt8638584,Trideviyaan,(2016–2017)
tt7200958,Chandra Nandini,(2016– )
tt7401524,Tenali Rama,(2017– )
tt9603482,Dil Toh Happy Hai Ji,(2019– )
tt2399993,Savdhaan India,(2012– )
tt8507480,Gabru: Hip Hop Ke Shehzaade,(2018– )
tt1587102,Yahan Mein Ghar Ghar Kheli,(2009– )
tt3361100,Teri Meri Love Stories,(2012– )
tt7351316,Sangam,(2007–2009)
tt8758320,Hankaar,(2018– )
tt9045818,Palak Pe Jhalak,(2015–2016)
tt3591138,Baal Veer,(2012– )
tt7258180,Aakhir Bahu Bhi Toh Beti Hee Hai,(2013–2014)
tt8784468,Suhani Si Ek Ladki,(2014–2017)
tt9081924,Beechwale - Bapu Dekh Raha Hai,(2018– )
tt10142458,Paradoxical,
tt8264146,Swami Ramdev Ek Sangharsh,(2018– )
tt1692200,Banegi Apni Baat,(1994–1998)
tt8870740,Banned,(2018)
tt10110314,Anahut: Hindi Webseries,(2018– )
tt0432469,Zabaan Sambhal Ke,(1993–1997)
tt8943778,Pritam Pyare Aur Woh,(2014)
tt0389594,Chandrakanta,(1994– )
tt0247896,Tamas,(1988– )
tt9397372,Mastermind,
tt1127012,Nach Baliye,(2005– )
tt8903198,Internet Wala Love,(2018– )
tt7205006,Kuch Toh Hai Tere Mere Darmiyaan,(2015–2016)
tt5991674,#LoveBytes,(2015– )
tt6435136,Sher-E-Punjab: Maharaja Ranjit Singh,(2017)
tt7871724,Peshwa Bajirao,(2017)
tt6969506,MTV Big F,(2015– )
tt5840272,Phir Wahi Talash,(1989–1990)
tt8141442,Dwarkadheesh: Bhagwaan Shree Krishn,(2011–2012)
tt7431022,OMG! Yeh Mera India,(2016–2018)
tt7169576,Aarambh,(2017– )
tt8620634,Thapki Pyar Ki,(2015–2017)
tt5279628,Maharathi Karna,(2002–2003)
tt7670400,Gattu Battu,(2017– )
tt9915686,Khatra Khatra Khatra,(2019– )
tt9261994,Chandragupta Maurya,(2018– )
tt0249296,Kachchi Dhoop,(1987– )
tt9067286,Devlok with Devdutt Pattanaik,(2015– )
tt6755668,Prem Ya Paheli: Chandrakanta,(2017– )
tt5580590,Family No. 1.,(1998–1999)
tt4663534,Fear Files,(2015– )
tt2942416,Punar Vivaah: Zindagi Milegi Dobara,(2012–2013)
tt4886424,Sadda Haq,(2013– )
tt0294230,Yeh Jo Hai Zindagi,(1984– )
tt7218588,Going Viral Pvt. Ltd.,(2017– )
tt3735944,Ekk Nayi Pehchaan,(2013– )
tt3038662,Choodiyan,(1995–1996)
tt2943764,Pati Patni Aur Woh,(2009– )
tt7762878,Love Ka Hai Intezaar,(2017)
tt9096108,Rasbhari,
tt1592294,Mitwa - Phool Kamal Ke,(2009–2010)
tt1888332,Saathii Re,(2007–2008)
tt8616144,Comedy Nights Bachao Taaza,(2016–2017)
tt8752040,Kaun Hai?,(2018– )
tt1876940,Krishna Arjun,(1998–2003)
tt2630718,Everything's Rosie,(2010– )
tt7151738,Brahmarakshas: Jaag Utha Shaitaan,(2016–2017)
tt5938958,Crime Patrol Dial 100,(2015– )
tt6260466,The 'Other' Love Story,(2016– )
tt7517690,Pavitra Bandhan: Do Dilon Ka,(2013–2016)
tt6571704,Barber Shop,(2017– )
tt3002496,Rab Se Sohna Isshq,(2012–2013)
tt10047740,Super Laundeys,(2019– )
tt0495254,Malini Iyer,(2004– )
tt2422938,Comedy Circus Ka Naya Daur,(2012– )
tt4964564,Ishq Ka Rang Safed,(2015– )
tt2556074,Sea Hawks,(1997–1998)
tt3608492,Gharwali Uparwali Aur Sunny,(2003–2004)
tt3568970,Ishq Kills,(2014– )
tt2800146,Shaurya Aur Suhani,(2009– )
tt7762498,Dil Sambhal Jaa Zara,(2017– )
tt7690392,Porus,(2017– )
tt4910098,Agadam Bagdam Tigdam,(2007–2008)
tt10006504,Ek Bhram - Sarvagun Sampanna,(2019– )
tt0390772,Space City Sigma,(1989– )
tt0833575,Tara,(1993–1997)
tt1692203,Just Mohabbat,(1996– )
tt3213338,MTV Webbed,(2013– )
tt3890300,Ghar Ek Mandir,(2000–2002)
tt7478474,Pyaar Ko Ho Jaane Do,(2015–2016)
tt7998226,Ghulaam,(2017)
tt7651298,Haasil,(2017– )
tt5492186,Saarrthi,(2004–2008)
tt2943388,Hitler Didi,(2011– )
tt8852102,Shake it Up,(2013)
tt9094442,City of Dreams,(2019– )
tt7213522,Kohi Apna Sa,(2001–2003)
tt9061832,Sabki Laadli Bebo,(2009–2011)
tt5657744,Amravati Ki Kathayein,(1994–1995)
tt5537604,Not Fit,(2015– )
tt7396230,Woh,(1997–1998)
tt3437690,Main Naa Bhoolungi,(2013– )
tt0456800,Suraag: The Clue,(1999– )
tt7106096,You Have Been Warned,(2017– )
tt9389766,26th January,(2018–2019)
tt8123758,Shraddha,(2009–2010)
tt7422690,Crime Files,
tt7871858,Chhal - Sheh Aur Maat,(2012)
tt7993420,Bhootu,(2017– )
tt8971810,Hear Me. Love Me.,(2018– )
tt7651284,Ek Deewaana Tha,(2017– )
tt6421022,Itihaas,(1996–1997)
tt7843350,Radhaa Ki Betiyaan Kuch Kar Dikhayengi,(2008–2009)
tt10016348,Virgin woman diaries,(2017– )
tt6420682,Yes Boss,(1999– )
tt8754702,"Mere Papa, Hero Hiralal",(2018)
tt6921490,Maharakshak Devi,(2015)
tt8431806,Krishna Chali London,(2018– )
tt6031660,Chinese Bhasad,(2016– )
tt7913564,The Remix,(2018– )
tt8571888,Rishtey,(1999–2001)
tt7981084,Ek Ladki Anjaani Si,(2005–2007)
tt1715300,Maayka,(2007– )
tt4197638,India's Got Talent,(2009– )
tt7781460,Agniphera,(2017– )
tt3294528,Khelti Hai Zindagi Aankh Micholi,(2013– )
